REFERENCE,BARCODE,NAME,BUY PRICE,SELL PRICE,SHORT NAME
PASTOR,PASTOR,PASTOR,30,35,PASTOR
BARBACOA,BARBACOA,BARBACOA,30,35,BARBACOA
CARNITAS,CARNITAS,CARNITAS,30,35,CARNITAS
DORADOS,DORADOS,DORADOS,30,35,DORADOS
ENCHILADA,ENCHILADA,ENCHILADA,30,35,ENCHILADA
