REFERENCE,BARCODE,NAME,BUY PRICE,SELL PRICE,SHORT NAME
NARANJA,NARANJA,NARANJA,10,15,NARANJA
LIMON,LIMON,LIMON,10,15,LIMON
TORONJA,TORONJA,TORONJA,10,15,TORONJA
FRESA,FRESA,FRESA,10,15,FRESA
MANZANA,MANZANA,MANZANA,10,15,MANZANA
