REFERENCE,BARCODE,NAME,BUY PRICE,SELL PRICE,SHORT NAME
CORONA,CORONA,CORONA,20,25,CORONA
VICTORIA,VICTORIA,VICTORIA,20,25,VICTORIA
INDIO,INDIO,INDIO,20,25,INDIO
TECATE,TECATE,TECATE,20,25,TECATE
XX,XX,DOS EQUIS,20,25,XX
