REFERENCE,BARCODE,NAME,BUY PRICE,SELL PRICE,SHORT NAME
NORMAL,NORMAL,NORMAL,30,35,NORMAL
CASERO,CASERO,CASERO,30,35,CASERO
GOURMET,GOURMET,GOURMET,30,35,GOURMET
DOBLE,DOBLE,DOBLE,30,35,DOBLE
RANCH,RANCH,RANCH,30,35,RANCH
