REFERENCE,BARCODE,NAME,BUY PRICE,SELL PRICE,SHORT NAME
CHICHAROS,CHICHAROS,CHICHAROS,15,20,CHICHAROS
RAJAS,RAJAS,RAJAS,10,15,RAJAS
MAIZ,MAIZ,MAIZ,15,20,MAIZ
HONGOS,HONGOS,HONGOS,15,20,HONGOS
DURAZNO,DURAZNO,DURAZNO,15,20,DURAZNO
