REFERENCE,BARCODE,NAME,BUY PRICE,SELL PRICE,SHORT NAME
LENTEJAS,LENTEJAS,LENTEJAS,10,15,LENTEJAS
FRIJOL,FRIJOL,FRIJOL,10,15,FRIJOL
SOYA,SOYA,SOYA,10,15,SOYA
HABAS,HABAS,HABAS,10,15,HABAS
AVENA,AVENA,AVENA,10,15,AVENA
