REFERENCE,BARCODE,NAME,BUY PRICE,SELL PRICE,SHORT NAME
SUAVISANTE,SUAVIZANTE,SUAVIZANTE,55,60,SUAVIZANTE
CLORO,CLORO,CLORO,20,25,CLORO
LIQUIDO,LIQUIDO,LIQUIDO,50,55,LIQUIDO
POLVO,POLVO,POLVO,15,20,POLVO
JABON,JABON,JABON,10,15,JABON
