REFERENCE,BARCODE,NAME,BUY PRICE,SELL PRICE,SHORT NAME
GELATINA,GELATINA,GELATINA,15,20,GELATINA
HELADO,HELADO,HELADO,15,20,HELADO
FLAN,FLAN,FLAN,15,20,FLAN
HOTCAKE,HOTCAKE,HOTCAKE,15,20,HOTCAKE
PAY,PAY,PAY,15,20,PAY
