REFERENCE,BARCODE,NAME,BUY PRICE,SELL PRICE,SHORT NAME
PAPAS,PAPAS,PAPAS,10,15,PAPAS
CACAHUATES,CACAHUATES,CACAHUATES,10,15,CACAHUATES
GARBANZO,GARBANZO,GARBANZO,10,15,GARBANZO
AMARANTO,AMARANTO,AMARANTO,10,15,AMARANTO
PALOMITAS,PALOMITAS,PALOMITAS,10,15,PALOMITAS
